Date,Amount
01/04/2023,156.20
01/04/2022,141.85
01/04/2021,137.60
01/04/2020,134.25
01/04/2019,129.20
01/04/2018,125.95
01/04/2017,122.30
01/04/2016,119.30
01/04/2015,115.95
01/04/2014,113.10
01/04/2013,110.15
01/04/2012,107.45
01/04/2011,102.15
01/04/2010,97.65
01/04/2009,95.25
01/04/2008,90.70
01/04/2007,87.30
01/04/2006,84.25
01/04/2005,82.05
01/04/2004,79.60
01/04/2003,77.45
01/04/2002,75.50
01/04/2001,72.50
01/04/2000,67.50
01/04/1999,66.75
01/04/1998,64.70
01/04/1997,62.45
01/04/1996,61.15
01/04/1995,58.85
01/04/1994,57.60
01/04/1993,56.10
01/04/1992,54.15
01/04/1991,52.00
01/04/1990,46.90
01/04/1989,43.60
01/04/1988,41.15
01/04/1987,39.50
01/07/1986,38.70
01/11/1985,38.30
01/11/1984,35.80
01/11/1983,34.05
01/11/1982,32.85
01/11/1981,29.60
01/11/1980,27.15
01/11/1979,23.30
01/11/1978,19.50
01/11/1977,17.50
01/11/1976,15.30
01/11/1975,13.30
01/04/1975,11.60
01/07/1974,10.00
01/10/1973,7.75
01/10/1972,6.75
01/09/1971,6.00
01/11/1969,5.00
01/10/1967,4.50
01/03/1965,4.00
01/05/1963,3.38
01/04/1961,2.88
01/01/1958,2.50
